,cords,description,name,params
456,51.125 179.012,"WESTERN ALEUTIANS - 14NM SOUTH OF AMCHITKA IS, AK",station-46071,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
457,51.672 -172.088,CENTRAL ALEUTIANS 230 NM SW Dutch Harbor,station-46072,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
458,55.009 -172.002,"SOUTHEAST BERING SEA - 205 NM WNW of Dutch Harbor, AK",station-46073,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
459,53.983 -160.817,"SHUMAGIN ISLANDS - 85NM South of Sand Point, AK",station-46075,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
460,59.471 -148.009,"CAPE CLEARE - 17 NM South of Montague Is,  AK",station-46076,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
461,57.902 -154.176,"SHELIKOF STRAIT, AK",station-46077,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
462,55.556 -152.582,"ALBATROSS BANK - 104NM South of Kodiak Is., AK",station-46078,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
463,57.947 -150.042,"PORTLOCK BANK- 76 NM ENE of Kodiak, AK",station-46080,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
464,60.802 -148.283,Western Prince William Sound,station-46081,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
465,59.681 -143.372,"Cape Suckling - 35 NM SE of Kayak Is, AK",station-46082,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
466,58.27 -138.019,"FAIRWEATHER GROUND - 105 NM West  of Juneau, AK",station-46083,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
467,56.622 -136.102,"CAPE EDGECUMBE - 25NM SSW of Cape Edgecumbe, AK",station-46084,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
468,55.883 -142.882,"CENTRAL GULF OF ALASKA -  265NM West of Cape Ommaney, AK",station-46085,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
469,32.499 -118.052,"SAN CLEMENTE BASIN - 27NM SE Of San Clemente Is, CA",station-46086,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
470,48.493 -124.726,"Neah Bay - 6 NM North of Cape Flattery, WA     (Traffic Separation Lighted Buoy)",station-46087,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
471,48.332 -123.179,"NEW DUNGENESS - 17 NM NE of Port Angeles, WA",station-46088,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
472,45.925 -125.771,"TILLAMOOK, OR - 85 NM WNW of Tillamook, OR",station-46089,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
473,36.835 -121.899,MBM0,station-46091,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
474,36.751 -122.029,MBM1,station-46092,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
475,36.69 -122.41,MBM2,station-46093,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
476,44.642 -124.3,"Buoy NH-10 - West of Newport, OR",station-46094,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
477,46.173 -124.127,Columbia River Entrance - SATURN Station #02 Offshore,station-46096,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
478,44.639 -124.304,OOI Newport Shelf,station-46097,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
479,44.381 -124.956,OOI Waldport Offshore,station-46098,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
480,46.986 -124.566,OOI Westport Shelf,station-46099,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
481,46.851 -124.972,OOI Westport Offshore,station-46100,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
482,59.049 -152.233,"South Cook Inlet - 10NM NW of East Amatuli Light, AK",station-46105,[None]
483,59.76 -152.09,Central Cook Inlet AK,station-46106,"['air_temperature', 'air_pressure_at_sea_level', 'waves', 'winds']"
484,59.925 -147.992,Montague Strait,station-46107,[None]
485,59.596 -151.829,Lower Cook Inlet (204),station-46108,"['air_temperature', 'sea_water_temperature', 'waves']"
486,48.123 -123.395,Port Angeles Buoy,station-46109,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
487,48.115 -123.032,Sequim Buoy,station-46110,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
488,48.131 -122.748,Fort Worden Buoy,station-46111,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
489,48.1 -122.73,Marrowstone Buoy,station-46112,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
490,47.73 -122.646,Poulsbo Buoy,station-46113,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
491,36.7 -122.343,"West Monterey Bay, CA (185)",station-46114,"['sea_water_temperature', 'waves']"
492,57.069 -177.75,Bering Sea,station-46115,[None]
493,46.287 -124.016,"SATURN Estuary Station #07, Baker Bay, WA",station-46116,"['sea_water_salinity', 'sea_water_temperature']"
494,46.176 -123.869,"SATURN Estuary Station #09, Youngs Bay, OR",station-46117,"['sea_water_salinity', 'sea_water_temperature']"
495,48.724 -122.576,Se'lhaem Bellingham Bay,station-46118,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
496,47.967 -124.95,Cha'Ba La Push,station-46119,"['air_temperature', 'sea_water_temperature', 'winds']"
497,47.761 -122.397,"Pt Wells, WA (U of Wash)",station-46120,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
498,47.28 -122.73,"Carr Inlet, WA (U of Wash)",station-46121,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
499,47.803 -122.803,"Dabob Bay, WA (U of Wash)",station-46122,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature']"
500,47.375 -123.008,"Twanoh - Hood Canal, WA (U of Wash)",station-46123,"['air_temperature', 'sea_water_salinity', 'sea_water_temperature']"
501,47.422 -123.113,"Hoodsport - Hood Canal, WA (U of Wash)",station-46124,"['air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature']"
502,47.907 -122.627,"Hansville - Hood Canal, WA",station-46125,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
503,53.951 -166.602,Wide Bay (Shell),station-46126,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
504,46.215 -124.063,"SATURN Offshore Station #10, Columbia River, South Jetty, OR",station-46127,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
505,43.292 -124.538,"Buoy CB-06 - West of Coos Bay, OR",station-46128,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
506,46.857 -124.244,"Grays Harbor, WA (036)",station-46211,"['sea_water_temperature', 'waves']"
507,40.753 -124.313,"Humboldt Bay South Spit, CA (128)",station-46212,"['sea_water_temperature', 'waves']"
508,40.295 -124.732,"Cape Mendocino, CA (094)",station-46213,"['sea_water_temperature', 'waves']"
509,37.937 -123.463,"Point Reyes, CA (029)",station-46214,"['sea_water_temperature', 'waves']"
510,35.204 -120.859,"Diablo Canyon, CA (076)",station-46215,"['sea_water_temperature', 'waves']"
511,34.333 -119.803,"Goleta Point, CA (107)",station-46216,"['sea_water_temperature', 'waves']"
512,34.167 -119.435,"Anacapa Passage, CA (111)",station-46217,"['sea_water_temperature', 'waves']"
513,34.452 -120.78,"Harvest, CA (071)",station-46218,"['sea_water_temperature', 'waves']"
514,33.219 -119.872,"San Nicolas Island, CA (067)",station-46219,"['sea_water_temperature', 'waves']"
515,33.86 -118.641,"Santa Monica Bay, CA (028)",station-46221,"['sea_water_temperature', 'waves']"
516,33.618 -118.317,"San Pedro, CA (092)",station-46222,"['sea_water_temperature', 'waves']"
517,33.458 -117.767,"Dana Point, CA (096)",station-46223,"['sea_water_temperature', 'waves']"
518,33.178 -117.472,"Oceanside Offshore, CA (045)",station-46224,"['sea_water_temperature', 'waves']"
519,32.933 -117.391,"Torrey Pines Outer, CA (100)",station-46225,"['sea_water_temperature', 'waves']"
520,43.77 -124.549,"UMPQUA OFFSHORE, OR (139)",station-46229,"['sea_water_temperature', 'waves']"
521,32.747 -117.37,"Mission Bay, CA (093)",station-46231,"['sea_water_temperature', 'waves']"
522,32.517 -117.425,"Point Loma South, CA  (191)",station-46232,"['sea_water_temperature', 'waves']"
523,32.57 -117.169,"Imperial Beach Nearshore, CA (155)",station-46235,"['sea_water_temperature', 'waves']"
524,36.76 -121.949,"Monterey Canyon Outer, CA  (156)",station-46236,"['sea_water_temperature', 'waves']"
525,37.788 -122.632,"San Francisco Bar, CA  (142)",station-46237,"['sea_water_temperature', 'waves']"
526,33.76 -119.55,"Santa Cruz Basin, CA (167)",station-46238,"['sea_water_temperature', 'waves']"
527,36.335 -122.104,"Point Sur, CA (157)",station-46239,"['sea_water_temperature', 'waves']"
528,36.626 -121.907,"Cabrillo Point, Monterey Bay, CA  (158)",station-46240,"['sea_water_temperature', 'waves']"
529,33.003 -117.292,"San Elijo Nearshore, CA (161)",station-46241,"['sea_water_temperature', 'waves']"
530,33.22 -117.439,"Camp Pendleton Nearshore, CA  (043)",station-46242,"['sea_water_temperature', 'waves']"
531,46.216 -124.128,"Clatsop Spit, OR (162)",station-46243,"['sea_water_temperature', 'waves']"
532,40.896 -124.357,"Humboldt Bay, North Spit, CA (168)",station-46244,"['sea_water_temperature', 'waves']"
533,34.251 -119.308,"Ventura Nearshore, CA - 169",station-46245,"['sea_water_temperature', 'waves']"
534,50.017 -145.17,Ocean Station PAPA  (166),station-46246,"['sea_water_temperature', 'waves']"
535,37.753 -122.833,"San Francisco Offshore, CA  (180)",station-46247,"['sea_water_temperature', 'waves']"
536,46.133 -124.644,"Astoria Canyon, OR  (179)",station-46248,"['sea_water_temperature', 'waves']"
537,33.821 -119.708,"Santa Cruz Island South, CA (182)",station-46249,"['sea_water_temperature', 'waves']"
538,34.034 -119.09,"Point Mugu Offshore, CA - 184",station-46250,"['sea_water_temperature', 'waves']"
539,33.769 -119.565,"Santa Cruz Basin, CA (203)",station-46251,"['sea_water_temperature', 'waves']"
540,33.953 -119.257,"Anacapa Passage South, CA (212)",station-46252,"['sea_water_temperature', 'waves']"
541,33.576 -118.181,"San Pedro South, CA (213)",station-46253,"['sea_water_temperature', 'waves']"
542,32.868 -117.267,"SCRIPPS Nearshore, CA (201)",station-46254,"['air_temperature', 'sea_water_temperature', 'waves']"
543,33.4 -119.651,"Begg Rock, CA  (138)",station-46255,"['sea_water_temperature', 'waves']"
544,33.7 -118.201,"Long Beach Channel, CA (215)",station-46256,"['sea_water_temperature', 'waves']"
545,34.439 -120.766,"Harvest Southeast, CA (216)",station-46257,"['sea_water_temperature', 'waves']"
546,32.752 -117.501,"Mission Bay West, CA (220)",station-46258,"['sea_water_temperature', 'waves']"
547,34.767 -121.498,"Santa Lucia Escarpment, CA (222)",station-46259,"['sea_water_temperature', 'waves']"
548,43.586 -124.29,"Lakeside, OR (231)",station-46260,"['sea_water_temperature', 'waves']"
549,43.76 -124.225,"Reedsport, OR (232)",station-46261,"['sea_water_temperature', 'waves']"
550,33.704 -119.004,"Santa Barbara Island North, CA (234)",station-46262,"['sea_water_temperature', 'waves']"
551,39.37 -123.912,"Fort Bragg South, CA (235)",station-46263,"['sea_water_temperature', 'waves']"
552,57.479 -151.695,"Kodiak, AK (236)",station-46264,"['sea_water_temperature', 'waves']"
553,64.473 -165.475,"Nome, AK (241)",station-46265,"['sea_water_temperature', 'waves']"
554,32.957 -117.279,"Del Mar Nearshore, CA (153)",station-46266,"['air_temperature', 'sea_water_temperature', 'waves']"
555,48.173 -123.607,"Angeles Point, WA (248)",station-46267,"['sea_water_temperature', 'waves']"
556,34.022 -118.578,"Topanga Nearshore, CA (103)",station-46268,"['air_temperature', 'sea_water_temperature', 'waves']"
557,36.934 -122.034,"Point Santa Cruz, CA (254)",station-46269,"['air_temperature', 'sea_water_temperature', 'waves']"
558,50.978 -163.948,"South Dutch Harbor - 220 NM SSE of Dutch Harbor, AK",station-46402,[None]
559,52.663 -156.778,"SOUTHEAST SHUMAGIN ISLAND - 186 NM SE of Shumagin Is, AK",station-46403,[None]
560,45.848 -128.775,"WEST ASTORIA - 230 NM West of Astoria, OR",station-46404,[None]
561,42.705 -128.835,"NEWPORT - 210NM West of Coos Bay, OR",station-46407,[None]
562,49.662 -169.9,"NIKOLSKI - 212 NM South of Umnak Is, AK",station-46408,[None]
563,55.318 -148.547,"SOUTHEAST KODIAK - 210 NM SE of Kodiak, AK",station-46409,[None]
564,57.644 -143.734,"SOUTH CORDOVA 188NM SSE of Cordova, AK",station-46410,"['air_temperature', 'air_pressure_at_sea_level', 'sea_floor_depth_below_sea_surface', 'winds']"
565,39.335 -127.07,"Mendocino - 150 NM West of  Mendocino Bay, CA",station-46411,[None]
566,32.4 -120.582,"San Diego - 175 NM West of San Diego, CA",station-46412,[None]
567,48 -174.228,"SOUTH-SOUTHEAST ADAK - 243 NM SSE of Adak Island, AK",station-46413,[None]
568,53.726 -152.483,"SOUTHEAST CHIRIKOF - 165 NM SE of Chirikof Island, AK",station-46414,[None]
569,52.98 -139.95,"SOUTHWEST JUNEAU - 370 NM SW of Juneau, AK",station-46415,[None]
570,49.901 -134.395,"WEST VANCOUVER - 442NM West of Vancouver, BC, Canada",station-46416,[None]
571,48.805 -129.616,"NORTHWEST SEATTLE - 300 NM WNW of Seattle, WA",station-46419,[None]
572,70.025 -166.071,Point Lay (UAF),station-48012,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
573,65.011 -169.454,30 NM West of King Island,station-48114,"['air_temperature', 'sea_water_temperature', 'waves']"
574,70.37 -146.04,Camden Bay (Shell Arctic),station-48211,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
575,70.874 -150.279,Harrison Bay (Shell Arctic),station-48212,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
576,71.502 -164.133,Burger,station-48213,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
577,70.872 -165.248,Klondike (MOB1),station-48214,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
578,71.758 -167.952,Crackerjack (Shell Arctic),station-48216,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
579,50.055 -144.873,Ocean Climate Station Papa,station-48400,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
580,30 -90,(ng291),station-48900,"['sea_water_salinity', 'sea_water_temperature']"
581,30 -90,(ng297),station-48901,"['sea_water_salinity', 'sea_water_temperature']"
582,30 -90,(SG515),station-48902,"['sea_water_salinity', 'sea_water_temperature']"
583,30 -90,(UD_134),station-48903,"['sea_water_salinity', 'sea_water_temperature']"
584,30 -90,(RU23),station-48904,"['sea_water_salinity', 'sea_water_temperature']"
585,30 -90,(BASS),station-48905,"['sea_water_salinity', 'sea_water_temperature']"
586,30 -90,(WALDO),station-48906,"['sea_water_salinity', 'sea_water_temperature']"
587,30 -90,(COOK),station-48907,"['sea_water_salinity', 'sea_water_temperature']"
588,30 -90,(SG135),station-48908,"['sea_water_salinity', 'sea_water_temperature']"
589,30 -90,(SG137),station-48909,"['sea_water_salinity', 'sea_water_temperature']"
590,30 -90,(SPRAY40),station-48910,"['sea_water_salinity', 'sea_water_temperature']"
591,30 -90,SG553,station-48911,"['sea_water_salinity', 'sea_water_temperature']"
592,23.528 -153.792,NORTHERN HAWAII ONE - 245NM NE of Honolulu HI,station-51000,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
593,24.453 -162,"NORTHWESTERN HAWAII ONE - 188 NM NW of Kauai Island, HI",station-51001,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
594,17.043 -157.742,"SOUTHWEST HAWAII - 215NM SSW of Hilo, HI",station-51002,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
595,19.196 -160.639,"WESTERN  HAWAII - 205 NM SW of Honolulu, HI",station-51003,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
596,17.533 -152.255,"SOUTHEAST HAWAII - 205 NM Southeast of Hilo, HI",station-51004,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
597,9 -140,9N 140W,station-51006,"['sea_water_temperature', 'winds']"
598,5 -140,5N 140W,station-51007,"['sea_water_temperature', 'winds']"
599,2 -140,2N 140W,station-51008,"['sea_water_temperature', 'winds']"
600,-2 -140,2S 140W,station-51009,"['sea_water_temperature', 'winds']"
601,0 -170,0 170W,station-51010,"['sea_water_temperature', 'winds']"
602,0 -125,0 125W,station-51011,"['sea_water_temperature', 'winds']"
603,-5 -140,5S 140W,station-51014,"['sea_water_temperature', 'winds']"
604,5 -125,5N 125W,station-51015,"['sea_water_temperature', 'winds']"
605,2 -125,2N 125W,station-51016,"['sea_water_temperature', 'winds']"
606,-2 -125,2S 125W,station-51017,"['sea_water_temperature', 'winds']"
607,-5 -125,5S 125W,station-51018,"['sea_water_temperature', 'winds']"
608,-5 -155,5S 155W,station-51019,"['sea_water_temperature', 'winds']"
609,5 -155,5N 155W,station-51020,"['sea_water_temperature', 'winds']"
610,2 -155,2N 155W,station-51021,"['sea_water_temperature', 'winds']"
611,-2 -155,2S 155W,station-51022,"['sea_water_temperature', 'winds']"
612,0 -155,0 155W,station-51023,"['sea_water_temperature', 'winds']"
613,0 -153.913,Christmas Island,station-51028,"['sea_water_temperature', 'winds']"
614,19.734 -155.082,"Hilo Bay, HI",station-51045,"['sea_water_salinity', 'sea_water_temperature']"
615,20.024 -155.828,"Kawaihai, HI",station-51046,"['sea_water_salinity', 'sea_water_temperature']"
616,23.558 -153.9,"NORTHERN HAWAII TWO - 252NM NE of Honolulu, HI",station-51100,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
617,24.361 -162.075,"NORTHWESTERN HAWAII TWO - 186 NM NW of Kauai Is., HI",station-51101,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
618,23.856 -166.275,French Frigate Shoals  (FFS Ocean 006),station-51167,[None]
619,-0.379 -159.978,Jarvis Island  (JAR 016),station-51169,[None]
620,16.759 -169.5,Johnston Atoll (JOH 005),station-51170,[None]
621,6.393 -162.342,Kingman Reef  (KIN 001),station-51171,[None]
622,28.418 -178.343,Kure Atoll  (KUR 008),station-51172,[None]
623,25.968 -173.916,Litsianski Island  (LIS 001),station-51173,[None]
624,-14.181 -169.652,"Ofu Island, American Samoa  (OFU 008)",station-51174,[None]
625,27.837 -175.816,Pearl and Hermes Reef  (PHR 001),station-51176,[None]
626,-14.551 -168.16,Rose Atoll  (ROS 002),station-51177,[None]
627,-14.244 -169.509,"Tau Island, American Samoa  (TAU 004)",station-51178,[None]
628,-14.328 -170.833,"Southwestern Tutuila Island, American Samoa  (TUT 002)",station-51179,[None]
629,-14.284 -170.722,"Western Tutuila Island, American Samoa  (TUT 004)",station-51180,[None]
630,-14.367 -170.763,"Southern Tutuila Island, American Samoa  (TUT 018)",station-51181,[None]
631,21.096 -158.303,"Barbers Point, HI  (164)",station-51200,"['sea_water_temperature', 'waves']"
632,21.671 -158.117,"Waimea Bay, HI (106)",station-51201,"['sea_water_temperature', 'waves']"
633,21.417 -157.68,"Mokapu Point, HI (098)",station-51202,"['sea_water_temperature', 'waves']"
634,20.788 -157.01,"Kaumalapau, HI (146)",station-51203,"['sea_water_temperature', 'waves']"
635,21.281 -158.124,"Barbers Point, HI #2 (165)",station-51204,"['sea_water_temperature', 'waves']"
636,21.019 -156.422,"Pauwela, Maui, HI (187)",station-51205,"['sea_water_temperature', 'waves']"
637,19.779 -154.97,"Hilo, Hawaii, HI (188)",station-51206,"['sea_water_temperature', 'waves']"
638,21.477 -157.752,"Kaneohe Bay, HI (198)",station-51207,"['sea_water_temperature', 'waves']"
639,22.285 -159.574,"Hanalei, Kauai, HI (202)",station-51208,"['sea_water_temperature', 'waves']"
640,-14.273 -170.5,"Aunuu, American Samoa (189)",station-51209,"['sea_water_temperature', 'waves']"
641,21.477 -157.756,"Kaneohe Bay, WETS, HI (225)",station-51210,"['sea_water_temperature', 'waves']"
642,21.297 -157.959,"Pearl Harbor Entrance, HI (233)",station-51211,"['sea_water_temperature', 'waves']"
643,21.323 -158.149,"Barbers Point, Kalaeloa, HI (238)",station-51212,"['air_temperature', 'sea_water_temperature', 'waves']"
644,20.75 -157.003,"Kaumalapau Southwest, Lanai, HI (239)",station-51213,"['sea_water_temperature', 'waves']"
645,8 -155,8N 155W,station-51301,"['sea_water_temperature', 'winds']"
646,-8 -155,8S 155W,station-51302,"['sea_water_temperature', 'winds']"
647,5 -170,5N 170W,station-51303,"['sea_water_temperature', 'winds']"
648,-5 -170,5S 170W,station-51304,"['sea_water_temperature', 'winds']"
649,2 -170,2N 170W,station-51305,"['sea_water_temperature', 'winds']"
650,-2 -170,2S 170W,station-51306,"['sea_water_temperature', 'winds']"
651,8 -125,8N 125W,station-51307,"['sea_water_temperature', 'winds']"
652,-8 -125,8S 125W,station-51308,"['sea_water_temperature', 'winds']"
653,8 -170,8N 170W,station-51309,"['sea_water_temperature', 'winds']"
654,-8 -170,8S 170W,station-51310,"['sea_water_temperature', 'winds']"
655,0 -140,0 140W,station-51311,"['sea_water_temperature', 'winds']"
656,-8.48 -125.027,CENTRAL SOUTH PACIFIC  - 1040NM NNE of Pitcarin Is,station-51406,[None]
657,19.556 -156.538,"HAWAII - 34NM West of Kailua-Kona, HI",station-51407,[None]
658,-9.505 -176.262,"NORTHWEST APIA - 370 NM NW of Apia, Samoa",station-51425,[None]
659,-23.11 -168.385,SOUTHEAST TONGA - 400NM SE of Tonga,station-51426,[None]
660,22 -158,WHOTS - Woods Hole Ocean Time-series,station-51wh0,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
661,19.289 -160.569,WESTERN HAWAII (Adrift),station-51x03,"['sea_water_temperature', 'waves']"
662,17.586 -152.461,Old 51004 (adrift),station-51x04,[None]
663,2 165,2N 165E,station-52001,"['sea_water_temperature', 'winds']"
664,-2 165,2S 165E,station-52002,"['sea_water_temperature', 'winds']"
665,5 165,5N 165E,station-52003,"['sea_water_temperature', 'winds']"
666,-5 165,5S 165E,station-52004,"['sea_water_temperature', 'winds']"
667,8 165,8N 165E,station-52006,"['sea_water_temperature', 'winds']"
668,-8 165,8S 165E,station-52007,"['sea_water_temperature', 'winds']"
669,13.354 144.788,"Ipan, Guam (121)",station-52200,"['sea_water_temperature', 'waves']"
670,7.083 171.392,"Kalo, Majuro, Marshall Islands (163)",station-52201,"['sea_water_temperature', 'waves']"
671,13.682 144.806,"Ritidian Point, Guam (196)",station-52202,"['sea_water_temperature', 'waves']"
672,15.268 145.662,"Tanapag, Saipan, NMI (197)",station-52211,"['sea_water_temperature', 'waves']"
673,7.63 134.667,"Ngaraard, Babeldaob, Palau (219)",station-52212,"['sea_water_temperature', 'waves']"
674,19.308 166.622,Wake Island  (WAK 002),station-52243,[None]
675,20.029 145.232,Maug Islands  (MAU 002),station-52244,[None]
676,18.127 145.757,Pagan Island  (PAG 001),station-52245,[None]
677,15.172 145.695,Saipan Island  (SAI 008),station-52246,[None]
678,14.128 145.164,Rota Island  (ROT 002),station-52247,[None]
679,13.529 144.801,Guam  (GUA 003),station-52248,[None]
680,-5.157 150.299,"Kimbe, New Britain, PNG  (KIM 001)",station-52249,[None]
681,5 180,5N 180W,station-52309,"['sea_water_temperature', 'winds']"
682,2 180,2N 180W,station-52310,"['sea_water_temperature', 'winds']"
683,0 180,0 180W,station-52311,"['sea_water_temperature', 'winds']"
684,-2 180,2S 180W,station-52312,"['sea_water_temperature', 'winds']"
685,-5 180,5S 180W,station-52313,"['sea_water_temperature', 'winds']"
686,8 180,8N 180W,station-52315,"['sea_water_temperature', 'winds']"
687,-8 180,8S 180W,station-52316,"['sea_water_temperature', 'winds']"
688,0 165,0 165E,station-52321,"['sea_water_temperature', 'winds']"
689,19.283 155.729,NORTHEAST SAIPAN - 610 NM ENE of Saipan,station-52401,[None]
690,11.929 153.909,SOUTHEAST SAIPAN - 540NM ESE of Saipan,station-52402,[None]
691,4.06 145.61,"NORTH MANUS - 345NM North of Manus Is , New Guinea",station-52403,[None]
692,20.633 132.12,"NORTH PHILIPPINE SEA - 750 NM NE of Manila, Philippines",station-52404,[None]
693,13.042 132.157,"SOUTH PHILIPPINE SEA -725 NM West of Agana, Guam",station-52405,[None]
694,-5.373 164.99,NORTHEAST SOLOMON - 370NM NE of Guadalcanal,station-52406,[None]
695,-11.445 113.607,South Bali,station-53046,[None]
696,-33.109 -173.155,"NORTHEAST NEW ZEALAND - 640NM NE of Auckland, NZ",station-54401,[None]
697,-15.664 158.453,Coral Sea 1     -     1285km ENE of Townsville,station-55012,[None]
698,-46.665 161.001,TASMAN SEA 3     -     1160km ESE of Hobart,station-55013,[None]
699,-46.956 160.343,TASMAN SEA 1     -     1110km ESE of Hobart,station-55015,[None]
700,-26 176,ETD Fiji Basin,station-55016,[None]
701,-14.715 153.537,Coral Sea 2     -     870km NE of Townsville,station-55023,[None]
702,-44.79 161.7,Tasman Sea 2     -     1175km ESE of Hobart,station-55042,[None]
703,-14.046 110.028,Indian Ocean 1     -      1025km NW of Dampier,station-56001,[None]
704,-15.019 118.073,Indian Ocean 2     -     630km NNE of Dampier,station-56003,[None]
705,30 -90,SG204,station-58900,"['sea_water_salinity', 'sea_water_temperature']"
706,30 -90,SG166,station-58902,"['sea_water_salinity', 'sea_water_temperature']"
707,30 -90,SG181,station-58903,"['sea_water_salinity', 'sea_water_temperature']"
708,30 -90,SG170,station-58904,"['sea_water_salinity', 'sea_water_temperature']"
709,30 -90,SG165,station-58905,"['sea_water_salinity', 'sea_water_temperature']"
710,30 -90,SB124,station-58906,"['sea_water_salinity', 'sea_water_temperature']"
711,30 -90,SG502,station-78900,"['sea_water_salinity', 'sea_water_temperature']"
712,30 -90,SG503,station-78901,"['sea_water_salinity', 'sea_water_temperature']"
713,44.333 -75.933,"Alexandria Bay, NY",station-aban6,[None]
714,39.38 -74.42,"Atlantic City Marina, NJ",station-acmn4,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
715,44.608 -87.433,"Algoma City Marina, WI",station-agmw3,[None]
716,58.287 -134.398,"Juneau AJ Dock, AK",station-ajxa2,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
